qId,category,official_source_url,official_pdf_sha256,pdf_page_1based,source_kind,source_ref,source_hash,expected_before_stem_sha256,replacement_stem_sha256,expected_label_sequence,insertion_offsets,source_statement_count,protected_fields,status
H29takken-042,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H29-q_a.pdf,8dea64d2b2eef90b99fc5c2e00c1bab86ec59aa16a8619d179df20ca215f162c,22,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2017/42.html,7f83a84168cb51f70e5796d8882491a747b99f89e958cb02a51f84230ee0c2f6,2da5e391f645fb4287909d821f8bad96dbd4fefce146ff42408cce54a00d418a,486ca36f8669d1f7301c7223b54511cf7f319fdcad6dfb6112e42980cf2d6e89,ア・イ・ウ・エ,54;100;199;297,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H29takken-043,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H29-q_a.pdf,8dea64d2b2eef90b99fc5c2e00c1bab86ec59aa16a8619d179df20ca215f162c,23,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2017/43.html,42888f38139ed1cc8d1239f5a0fb5207f3e144717aaf11fc69d502d69a802d15,562184444c1af5d29d594f192a9cf64c5da65a4f3047873b3c026cd3c76f697a,9b8fb4540e2d285757d80c16306d3e7dbddc4036c1ebade027c47ee61f3d3c36,ア・イ・ウ・エ,127;228;341;447,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H30takken-028,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H30-q_a.pdf,f2fb8a79c7c6394b6a397383df5551b898e03aa684d162073b291a22fbe3ed72,15,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2018/28.html,7cbcedcaef6452f8d31cc7f8c0a449702f702af0f2ba61979f25cc2a5b335e00,e7d0eb37a8fe7e0d9aaa599176fbe1d7f246adfcbf19fda32e9c2c27e85540a9,50af6c8c940e53c474773ae55282fa06b17df3214436581fe84ada8bacbadb30,ア・イ・ウ・エ,55;156;227;329,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H30takken-034,combination,https://www.retio.or.jp/wp-content/uploads/2024/10/H30-q_a.pdf,f2fb8a79c7c6394b6a397383df5551b898e03aa684d162073b291a22fbe3ed72,18,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2018/34.html,348a0ea8f78745ee04feb7a6a6c366d443d592c4746db83407fcf3de1b6c333e,358f950abedac1e7e886e85da64758aaf1f7d6b58d45e80cda63abcad3e0c0d3,d83e3642ad228f61816cf751897fb23279cfba755c5a645968b4fa7c7914c8ed,ア・イ・ウ・エ,98;144;168;177,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H30takken-037,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H30-q_a.pdf,f2fb8a79c7c6394b6a397383df5551b898e03aa684d162073b291a22fbe3ed72,20,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2018/37.html,b386ea3554161d02415b5f7909f11f5b171bfd394d7d3d39009755353e468bdd,5ef67be1d402e1565ab2b041e3262455ca4927b16c3ae4d78ab31fa9a6c680e0,4ad8aa35d3193eef4f4b53eaaf9e15c25c8adf9772f136d3978557cb0ad21b38,ア・イ・ウ・エ,129;237;309;406,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
H30takken-040,count,https://www.retio.or.jp/wp-content/uploads/2024/10/H30-q_a.pdf,f2fb8a79c7c6394b6a397383df5551b898e03aa684d162073b291a22fbe3ed72,22,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2018/40.html,ab844c92dce46a12a8494671f92e15b2a91c54b02b4b28e3404d9d5cbb8b2a99,d373cc81141c0caf3fa5149baf768f649c1f326091bb6aaaf3a0ee8730630e42,1a40826d86191b9a08e2d05d9b25f0301fce4bb43f491f4143e9c9e1736b0870,ア・イ・ウ・エ,52;122;198;276,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R1takken-027,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R1-q_a.pdf,c0fe7658da533768c01904ce1aa298b204f6c6309cee6c475ff5e3d46a97b772,14,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2019/27.html,02e6389cae8d5dffff9fa19a34e9a9b14a31f16e73d6061f4399019c1e49c295,e0b9571005e0178f506628a44ae94093e2f97f7eae88440028023d6a5dfaca46,167d538dbc366c0a425b44415b3ece583b67a9785351ff399398e434a7300620,ア・イ・ウ・エ,61;134;291;348,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R1takken-029,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R1-q_a.pdf,c0fe7658da533768c01904ce1aa298b204f6c6309cee6c475ff5e3d46a97b772,15,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2019/29.html,eb0574fa7cec204984382986945377dcff2d6f145087937ae898e28c5ad9e8ff,233398c6b284ede4919ba8d694b507f8d70f4e9e352b1b42700f4385f096377f,e5e6e2412913152f5b6cb1204d411d301b1edb6aa3f24f3416beb67335d2c71b,ア・イ・ウ・エ,66;180;264;329,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R1takken-030,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R1-q_a.pdf,c0fe7658da533768c01904ce1aa298b204f6c6309cee6c475ff5e3d46a97b772,16,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2019/30.html,0d1e972086d296eb5b960b508ba85c5779cd6a97af895eceee02c1490c52955e,af090594b41d8d96168ebcab94062a0987cb51a2ac4839aa0f2efd922ae7456f,b8fcce9845ad3946952bf91ac604c4266b1c9a6496941c40d86602faa14062fb,ア・イ・ウ・エ,51;138;191;267,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R1takken-031,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R1-q_a.pdf,c0fe7658da533768c01904ce1aa298b204f6c6309cee6c475ff5e3d46a97b772,16,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2019/31.html,da50ba0dcede1315f16155341b63c7691ee772d995b1727bec89b8e20b28e84d,e0502fa859790537684b951b65a36cfe0c5cf33264dda0a357eafe601584998f,e8f882cc6e3e29c96bf986a678131aa639622dcf286fe02439e546842c2a39b3,ア・イ・ウ・エ,119;196;240;289,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R1takken-036,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R1-q_a.pdf,c0fe7658da533768c01904ce1aa298b204f6c6309cee6c475ff5e3d46a97b772,19,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2019/36.html,ece9db3ae28d9fded8f7fb98b4ba4477cd98746415f741c662e3c2376c523235,38a9232b15ed31064660b5ed5666b2d03e8d7a48d5da011b5c8117ff6edba2fd,00452d92bab30648cea1574f72d6cfeb997fd07d595747c75cdfc7eb2ee1ebd9,ア・イ・ウ・エ,154;257;368;478,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R1takken-038,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R1-q_a.pdf,c0fe7658da533768c01904ce1aa298b204f6c6309cee6c475ff5e3d46a97b772,20,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2019/38.html,21c5cc436201b6d995d28181d231282108f2d59d0de47ad50313a7a344b08b14,7e757da6df93dbc834d3ab69dc2e7d9abe1db2180a65f860de25bc365359db80,9e341571fba3889b974a17d3e49cd5b00ae775ce375d31dab53fd4a40054223b,ア・イ・ウ,115;192;357,3,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2atakken-027,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question.pdf,a6dd351660b249a88c9d641bc3f82f2e13c06f9edc429b50b179c90efac61af4,16,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-1/27.html,5d24a253b720466007f70450c941906faa6a81e021043a962f262e5bcd25da25,ddfaffc0b16042e3248cd010646bbfe208b1f2d39d2611bda786b5b3f3380b04,2ab13de84698774914006eb87694d4c59b010ea51aa67cf9d2ed077401f56b51,ア・イ・ウ・エ,62;195;314;371,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2atakken-029,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question.pdf,a6dd351660b249a88c9d641bc3f82f2e13c06f9edc429b50b179c90efac61af4,17,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-1/29.html,4b99c3d82975db4b7c0c123037e7d533e2273dc1faf6ffdb223298f2a531180e,39f5b20572d9e483f32cbf2fb7e891878107c2e53540cc20921a64e8ccfdd42d,2bff07388db00405b253777e3df83e9b6d88f2b16c4b4973f5ed0c8ccc60bf60,ア・イ・ウ・エ,142;212;309;391,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2atakken-037,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question.pdf,a6dd351660b249a88c9d641bc3f82f2e13c06f9edc429b50b179c90efac61af4,21,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-1/37.html,29cca6dc028c3688501ef1171e510bbb89608f97982fa548f352c054df69a1d9,1f7da34c20a816fa087da95af3d2b2a202141bf8d573aade93d3bd433fd9f0ff,d83af2d73f5133456e956bf4a4c213ff2e7cf901ab96bc8bccf9423dac8837cf,ア・イ・ウ・エ,163;210;242;284,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2atakken-040,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question.pdf,a6dd351660b249a88c9d641bc3f82f2e13c06f9edc429b50b179c90efac61af4,23,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-1/40.html,c9a708f62e7445c1dbd1bf72bf58b2ba48684156195f182c04a29eac33788579,cfda401dbe385367fa13877398c0b2ae3d9473ac9995d243a4aea933ab44d4b7,5b69ceb0364f3e66ee7dfc98a6392db6923e51049ed2b344697df3488570e513,ア・イ・ウ・エ,137;242;309;373,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2btakken-008,combination,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question_002.pdf,3e771375cee071c58baf64f51d5ca344163a45f1df00ef18abf2402c7bf24104,5,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-2/08.html,05d7c5d2ee2c22bb5b1d34620d2bcf3b359ae634f315015e7720418b13f7316c,c2108a15d32450ab23f78f8565608d9d70b36b717a38b47f164219b6532b65e4,713704458d0cdba16e75b1f2e5f7cc81b1bc032eb3aa5673df777e92b8ecf87c,ア・イ・ウ・エ,69;121;188;243,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2btakken-028,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question_002.pdf,3e771375cee071c58baf64f51d5ca344163a45f1df00ef18abf2402c7bf24104,15,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-2/28.html,a0294609b13c16b7f07fec623430dbdfe5ea85afe73fdfb76e05036ac81a6acd,fa3d282302ed8d35898d6c6076ef838313c96ff140e618ed17a18aa71732593e,f98ff9f48ceacb5dc3c331a30256735f94c5e9502c0e90f6712615ebfc37ad1a,ア・イ・ウ・エ,168;287;351;525,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2btakken-032,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question_002.pdf,3e771375cee071c58baf64f51d5ca344163a45f1df00ef18abf2402c7bf24104,17,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-2/32.html,2934e9d42b23e46b1544642fc91f3e05e8a5eb63e7bf9260bd112691fe7b96c9,08ed02b180133929c13a7a36a7b3b154b8029d9bc8b17ffe7b84588b010e6056,03e2448e1040ec06807526c38eceb0a75a97cf410f87355eb7d03dad375b9325,ア・イ・ウ・エ,88;189;284;356,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2btakken-035,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question_002.pdf,3e771375cee071c58baf64f51d5ca344163a45f1df00ef18abf2402c7bf24104,19,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-2/35.html,264f21fe3ac8d8b5107fb2e77217a6045b516b32f03e4fbeeb9f2bb9f72d2ae7,028c53d96d550fc6396c8ca84981997eec7d36d28aae5c54d6f0b02daf2f7a8b,7c595e4a572ef80089d5456e377aa39fa27e69c1b49e592f3ee2827b1fef01e6,ア・イ・ウ・エ,146;230;317;414,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2btakken-038,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question_002.pdf,3e771375cee071c58baf64f51d5ca344163a45f1df00ef18abf2402c7bf24104,20,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-2/38.html,ff3908b72e39b4e0758e79503a3361c511c209d8d3bee4fc29c9b9a582cb7e23,1caaba71e5a2c7320b0b6ce07960ea7a05845d5f45ffc49e0803d76a1f147346,bfc8b5b38597436a1f42b1664134fdd15e92feda719c182c71ef52ba9e48e131,ア・イ・ウ・エ,52;169;225;314,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R2btakken-044,count,https://www.retio.or.jp/wp-content/uploads/2024/10/R2-question_002.pdf,3e771375cee071c58baf64f51d5ca344163a45f1df00ef18abf2402c7bf24104,24,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2020-2/44.html,856a10edc0f60db63a0b713c2365e33b8dd0363f95a1665b7086fbf251403f29,401508a4a5568cae2f16f4a4f559dd4d9834a2bf6f4f8b65a63ed3f8e37d51df,d9e36638a1f4ccb3055e4b6c834873cb2e0a0c5bdcae16111f8dd980a728aca3,ア・イ・ウ・エ,33;92;133;186,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R3atakken-003,count,https://www.retio.or.jp/wp-content/uploads/2024/12/R3-question.pdf,ad436ace2388e21860ea59b7bbd9482a0b4d15422737f3fc1b44291764569219,4,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2021-1/03.html,35ed72c364d987fec5795b05631d48a0550dce9522ab7191c079e376450181c8,5607a695c548ca8ea74bbc0b007dbd2c2a621edbbe476b3c3572cb4c777b1d71,31644a2155850682a392bfe0afd5f71430b0dec8e6f7f4ba2d59da64fa62ce56,ア・イ・ウ・エ,87;169;286;366,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R3atakken-030,count,https://www.retio.or.jp/wp-content/uploads/2024/12/R3-question.pdf,ad436ace2388e21860ea59b7bbd9482a0b4d15422737f3fc1b44291764569219,18,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2021-1/30.html,a303f27fecce1666e452c1f7616199314c6ec8980bf2e94ab60084a717581952,d8ab9460b290e56b292c37ddadbb87c791c29b4dd63b61a4fe6d4076c7cb8429,d0fb01339223ecfdec9f57841de4a8620083c055d1ea1974306586e8633ef556,ア・イ・ウ・エ,62;114;189;259,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R3atakken-035,count,https://www.retio.or.jp/wp-content/uploads/2024/12/R3-question.pdf,ad436ace2388e21860ea59b7bbd9482a0b4d15422737f3fc1b44291764569219,20,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2021-1/35.html,6d1b05968fbba590c850cfeb218001ebb121929ca9690b4e22371070edd7ee93,fcf5e5e152efc308d34a74b5d96df67a814e1d2dd53f8dd971a35e8a5f8988c3,867000081212437cfd13eebd143ff7b676375c79d9d7779069df02340099f906,ア・イ・ウ・エ,64;157;286;346,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R3atakken-041,count,https://www.retio.or.jp/wp-content/uploads/2024/12/R3-question.pdf,ad436ace2388e21860ea59b7bbd9482a0b4d15422737f3fc1b44291764569219,23,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2021-1/41.html,1859e92a9001a0d6c32bbf389ce1b0a98b4ef373a98c068d6cb5445936b932f3,9a9a4152b8d2b0cd804475c4b7f522b4b965c207feac252cb71057afe6ebcfc8,9790686dadbf9118e00cd64d4e58f880a13afde9e5ba94c030d9beef50c4da4e,ア・イ・ウ・エ,103;209;310;363,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R3atakken-043,count,https://www.retio.or.jp/wp-content/uploads/2024/12/R3-question.pdf,ad436ace2388e21860ea59b7bbd9482a0b4d15422737f3fc1b44291764569219,24,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2021-1/43.html,0684b6f4451178f4355effaca52b7720648ec4364f2943056c2ef59eaf038a68,d8ae8e5ceba766a887bc2ee25265bb5280cf9ad26a1e2507a17dfdfa19862df1,ceda0d562a26c31a5367ff2496d5794a61297e581554dc240fa0f6ea57c844d2,ア・イ・ウ・エ,49;115;203;262,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R3btakken-028,count,https://www.retio.or.jp/wp-content/uploads/2024/12/R3-question_002.pdf,88beed8b5280e76b35b57c2894ed3be35453ccf3dfc76dbc2d8f6ff195b74e45,16,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2021-2/28.html,902e0c6c09fbb25e4447e2a39f887cd41d5f4084665867c24f169a4305fdbc1e,b4e5936aa1ee0be9965357ca3d2628808e71a4c36b77f3203a862aefd0a15a04,afca1afc7a756ed6d0874cd18ff790164942cda51fed40c73ec4f6ab4ee1a9dc,ア・イ・ウ・エ,88;142;198;278,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
R3btakken-031,count,https://www.retio.or.jp/wp-content/uploads/2024/12/R3-question_002.pdf,88beed8b5280e76b35b57c2894ed3be35453ccf3dfc76dbc2d8f6ff195b74e45,18,RETIO_official_question_pdf,https://takken-siken.com/kakomon/2021-2/31.html,0bfbc97443a82703f75077e7e6a4d373f69b8509761b6ecce7f3689f35436322,a8cbc68ef03629964306b42c1a50a7b46c3319ccd9649331285e8e14453fac03,d0154e1c52e597783b270a30ea8ee5b84b0221759b1f7762f78c07e6961a0bc9,ア・イ・ウ・エ,253;330;390;461,4,"choiceA-D,choiceE,correct,explain*,imageUrl,choiceImageUrl,source_ref",approved_label_only_patch
