row,qId,imageUrl,choiceA_original
286,R3gakkaB-032,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-032.png,（イ）R（ロ）S（ハ）管理特性（ニ）品質保証測定ばらつきの度合い
287,R3gakkaB-033,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-033.png,（イ）R（ロ）S（ハ）品質規定方式（ニ）締固め度最も使用量が多い材料全ブロック
288,R3gakkaB-034,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-034.png,（イ）R（ロ）S（ハ）竹節（ニ）座屈強度マーキング位置排出していない
289,R3gakkaB-035,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R3gakkaB-035.png,（イ）R（ロ）S（ハ）高すぎる（ニ）乾燥吸水モルタル充填継手
371,R4gakkaB-021,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-021.png,（イ）Q（ロ）S（ハ）R（ニ）からの転用はさける採用してはならない資機材不足が妥当である
372,R4gakkaB-022,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-022.png,（イ）Q（ロ）S（ハ）R（ニ）発注者健康保険の加入状況一定額以上の下請金額の場合は施工体系図
373,R4gakkaB-023,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-023.png,（イ）Q（ロ）S（ハ）R（ニ）透水性粘性土の隆起透水層
374,R4gakkaB-024,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-024.png,（イ）Q（ロ）S（ハ）R（ニ）高め最大の集中化経済性
375,R4gakkaB-025,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-025.png,（イ）Q（ロ）S（ハ）R（ニ）工程計画工事実施進度管理立会検査
376,R4gakkaB-026,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-026.png,（イ）Q（ロ）S（ハ）R（ニ）バーチャートグラフ式工程表ネットワーク式工程表ガントチャート
377,R4gakkaB-027,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-027.png,（イ）Q（ロ）S（ハ）R（ニ）ますます安くさらに安くかわらないそれぞれ単独に
378,R4gakkaB-028,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-028.png,（イ）Q（ロ）S（ハ）R（ニ）作業の前日一定の作業指揮者乗車席
379,R4gakkaB-029,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-029.png,（イ）Q（ロ）S（ハ）R（ニ）離れてはならない含む最大限合図
380,R4gakkaB-030,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-030.png,（イ）Q（ロ）S（ハ）R（ニ）写真記録労働基準監督署低い工事関係者
381,R4gakkaB-031,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-031.png,（イ）Q（ロ）S（ハ）R（ニ）人数と同数以上当該労働者人員その日の作業を開始する前
382,R4gakkaB-032,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-032.png,（イ）Q（ロ）S（ハ）R（ニ）早く標準特性完了後の検査
383,R4gakkaB-033,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-033.png,（イ）Q（ロ）S（ハ）R（ニ）以下規定回数事前に品質規定
384,R4gakkaB-034,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-034.png,（イ）Q（ロ）S（ハ）R（ニ）電磁波レーダ法電磁誘導法乾燥しすぎていると1.5倍以上
385,R4gakkaB-035,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R4gakkaB-035.png,（イ）Q（ロ）S（ハ）R（ニ）縦〜15秒10cm程度入るなくなった
467,R5gakkaB-021,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R5gakkaB-021.png,（イ）R（ロ）S（ハ）長い（ニ）分散最小限平均化して
469,R5gakkaB-023,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R5gakkaB-023.png,（イ）R（ロ）S（ハ）保証人（ニ）使用資機材及び金額等再下請通知書工程管理図
472,R5gakkaB-026,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R5gakkaB-026.png,（イ）R（ロ）S（ハ）路線に沿った（ニ）出来高比率は掴みにくい正確に捉えることができる
475,R5gakkaB-029,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R5gakkaB-029.png,（イ）R（ロ）S（ハ）定格荷重（ニ）複数名確保クレーンのブーム注意して実施
479,R5gakkaB-033,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R5gakkaB-033.png,（イ）R（ロ）S（ハ）代表ブロック（ニ）締固め度施工完了後地形条件
568,R6gakkaB-021,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R6gakkaB-021.png,（イ）S（ロ）分散化（ハ）市販品（ニ）納期部分的
570,R6gakkaB-023,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R6gakkaB-023.png,（イ）S（ロ）止水性（ハ）アーク溶接（ニ）地盤の緩み杭配置
573,R6gakkaB-026,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R6gakkaB-026.png,（イ）S（ロ）高く（ハ）悪く（ニ）逆に高くこれらを良く調整
576,R6gakkaB-029,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R6gakkaB-029.png,（イ）S（ロ）できる（ハ）含む（ニ）その作業の前日まで合図
580,R6gakkaB-033,https://raw.githubusercontent.com/bubbleberry247/PDF-RakuRaku-Seisan/master/docs/assets/doboku-14w/images/R6gakkaB-033.png,（イ）S（ロ）品質規定方式（ハ）締固め度（ニ）以上規定回数
