qId,segmentId,type,difficulty,tag1,tag2,tag3,lawTag,revisionFlag,conceptId,variantGroupId,source_ref,imageUrl,stem,choiceA,choiceB,choiceC,choiceD,choiceE,explainA,explainB,explainC,explainD,explainE,correct,explainShort,explainLong,status,updatedAt
R1-A-Q014,R1-前半-main-14,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.14,,"場所打ち杭の鉄筋かごの施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q015,R1-前半-main-15,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.15,,"道路橋の直接基礎の施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q016,R1-前半-main-16,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.16,,"鋼道路橋の架設上の留意事項に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q017,R1-前半-main-17,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.17,,"鋼道路橋における溶接施工上の留意事項に関する次の記述のうち,適当でないものはど れか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q018,R1-前半-main-18,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.18,,"鋼道路橋における高力ボルトの締付け作業に関する次の記述のうち,適当なものはどれ か。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q019,R1-前半-main-19,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.19,,"コンクリートのアルカリシリカ反応の抑制対策に関する次の記述のうち,適当なものは どれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q020,R1-前半-main-20,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.20,,"コンクリート構造物の補修対策に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q021,R1-前半-main-1,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.21,,"河川の掘削工事に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q022,R1-前半-main-2,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.22,,"河川護岸前面に設置する根固工に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q023,R1-前半-main-3,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.23,,"河川の柔構造樋門の施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q024,R1-前半-main-4,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.24,,"砂防えん堤の施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q025,R1-前半-main-5,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.25,,"渓流保全工の各構造に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q026,R1-前半-main-6,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.26,,"急傾斜地崩壊防止工の施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q027,R1-前半-main-7,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.27,,"道路のアスファルト舗装における路床に関する次の記述のうち,適当でないものはどれ か。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q028,R1-前半-main-8,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.28,,"道路のアスファルト舗装における路盤の施工に関する次の記述のうち,適当でないもの はどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q029,R1-前半-main-9,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.29,,"道路のアスファルト舗装における加熱アスファルト混合物の施工に関する次の記述のう ち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q030,R1-前半-main-10,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.30,,"道路のアスファルト舗装における補修工法に関する次の記述のうち,適当なものはどれ か。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q031,R1-前半-main-11,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.31,,"道路の排水性舗装に使用するポーラスアスファルト混合物の施工に関する次の記述のう ち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q032,R1-前半-main-12,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.32,,"道路のコンクリート舗装に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q033,R1-前半-main-13,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.33,,"下記に示す(イ)〜(ホ)の作業内容について,一般的なRCD 工法(巡航RCD 工法 を除く)の施工手順として,適当なものは次のうちどれか。 (イ)RCD 用コンクリート打込み (ロ)外部コンクリート打込み (ハ)内部振動機で締固め (ニ)内部振動機で境界部を締固め (ホ)敷き均して振動ローラで締固め",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q034,R1-前半-supplementary-1,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.34,,"フィルダムの施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q035,R1-前半-supplementary-2,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.35,,"トンネルの山岳工法における支保工の施工に関する次の記述のうち,適当でないものは どれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q036,R1-前半-supplementary-3,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.36,,"トンネルの山岳工法における覆工の施工に関する次の記述のうち,適当でないものはど れか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q037,R1-前半-supplementary-4,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.37,,"海岸堤防の施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q038,R1-前半-supplementary-5,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.38,,"海岸の潜堤・人工リーフの機能や特徴に関する次の記述のうち,適当でないものはどれ か。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q039,R1-前半-supplementary-6,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.39,,"港湾の防波堤の施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q040,R1-前半-supplementary-7,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.40,,"港湾の浚渫工事の調査に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q041,R1-前半-supplementary-8,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.41,,"鉄道工事における路盤に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q042,R1-前半-supplementary-9,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.42,,"鉄道の軌道の維持管理に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q043,R1-前半-supplementary-10,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.43,,"鉄道(在来線)の営業線内又はこれに近接した工事における保安対策に関する次の記述 のうち,適当なものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q044,R1-前半-supplementary-11,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.44,,"シールド工法の施工管理に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q045,R1-前半-supplementary-12,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.45,,"鋼橋の防食法に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q046,R1-前半-supplementary-13,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.46,,"上水道の管布設工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q047,R1-前半-supplementary-14,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.47,,"下水道管きょの更生工法に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q048,R1-前半-supplementary-15,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.48,,"小口径管推進工法の施工に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q049,R1-前半-supplementary-16,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.49,,"薬液注入工事の施工にあたり配慮すべき事項に関する次の記述のうち,適当でないもの はどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q050,R1-前半-supplementary-17,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.50,,"労働者に支払う賃金に関する次の記述のうち,労働基準法令上,誤っているものはどれ か。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q051,R1-前半-supplementary-18,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.51,,"年少者・女性の就業に関する次の記述のうち,労働基準法令上,正しいものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q052,R1-前半-supplementary-19,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.52,,"労働安全衛生法令上,工事の開始の日の30日前までに,厚生労働大臣に計画を届け出 なければならない工事が定められているが,次の記述のうちこれに該当しないものはど れか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q053,R1-前半-supplementary-20,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.53,,"高さが m 以上のコンクリート造の工作物の解体等の作業における危険を防止するた めに,事業者又はコンクリート造の工作物の解体等作業主任者(以下,解体等作業主任 者という)が行わなければならない事項に関する次の記述のうち,労働安全衛生法令 上,誤っているものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q054,R1-前半-supplementary-1,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.54,,"技術者制度に関する次の記述のうち,建設業法令上,誤っているものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q055,R1-前半-supplementary-2,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.55,,"火薬類の取扱い等に関する次の記述のうち,火薬類取締法令上,誤っているものはどれ か。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q056,R1-前半-supplementary-3,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.56,,"道路上で行う工事又は行為についての許可又は承認に関する次の記述のうち,道路法令 上,正しいものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q057,R1-前半-supplementary-4,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.57,,"河川管理者の許可に関する次の記述のうち,河川法令上,正しいものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-A-Q058,R1-前半-supplementary-5,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.58,,"工事現場に設ける延べ面積60 m の仮設建築物に関する次の記述のうち,建築基準法令 上,正しいものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-A-Q059,R1-前半-supplementary-6,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.59,,"騒音規制法令上,指定区域内における建設工事として行われる作業に関する次の記述の うち,特定建設作業に該当しないものはどれか。 ただし,当該作業がその作業を開始した日に終わるもの,及び使用する機械が一定の限 度を超える大きさの騒音を発生しないものとして環境大臣が指定するものを除く。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-A-Q060,R1-前半-supplementary-7,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.60,,"振動規制法令上,特定建設作業における環境省令で定める基準に関する次の記述のう ち,誤っているものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-A-Q061,R1-前半-supplementary-8,ability,3,,,,,false,,,令和1年度第一次検定 前半 No.61,,"船舶の航行又は工事の許可等に関する次の記述のうち,港則法上,誤っているものはど れか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q001,R1-後半-main-1,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.1,,"TS(トータルステーション)を用いて行う測量に関する次の記述のうち, 適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q002,R1-後半-main-2,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.2,,"公共工事標準請負契約約款において,工事の施工にあたり受注者が監督員に通知し,そ の確認を請求しなければならない事項に該当しないものは,次の記述のうちどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q003,R1-後半-main-3,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.3,,"下図は,ボックスカルバートの一般図とその配筋図を示したものであるが,次の記述の うち,適当でないものはどれか。 一般図 頂版 2000 3800 A-A 4003000400 3800 40010020017510×250=2500175200100 175175 200 D19 4×250=10004×250=1000 D13 200 38003000 D13 D13 D19 D13 400100 B-B 300200 均しコンクリート切込砕石 1003800100 側壁断面図 D-D E-E C-C D D13 C E 100 A D13 A 100 B B 200200 178178 177100177 D19 D13 D13 10×250=250010×250=2500 100100 38003800 D13 D22 177 F 100 F 177 178 G G 178 180180 D13 110 E 110 C D13 D D13 D13 10020017510×250=2500175200100 4×250=10004×250=10001753800175 単位(mm)",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-B-Q004,R1-後半-main-4,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.4,,"工事用電力設備に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q005,R1-後半-main-5,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.5,,"施工計画立案のための事前調査に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q006,R1-後半-main-6,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.6,,"資材・機械の調達計画立案に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q007,R1-後半-main-7,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.7,,"公共工事における施工体制台帳の作成に関する次の記述のうち,適当でないものはどれ か。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-B-Q008,R1-後半-main-8,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.8,,"仮設工事計画立案の留意事項に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q009,R1-後半-main-9,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.9,,"施工計画における建設機械に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q010,R1-後半-main-10,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.10,,"工事の工程管理に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q011,R1-後半-main-11,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.11,,"工程管理における日程計画に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q012,R1-後半-main-12,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.12,,"下図のネットワーク式工程表に関する次の記述のうち,適当なものはどれか。 ただし,図中のイベント間のA〜K は作業内容,日数は作業日数を表す。 C D 3 5日7日 A B E F J 01245 5日5日6日5日6日 G H I K 6789 2日7日7日4日",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q013,R1-後半-main-13,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.13,,"工程管理曲線(バナナ曲線)を用いた工程管理に関する次の記述のうち,適当なものは どれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-B-Q014,R1-後半-main-14,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.14,,"下図に示す施工体制の現場において,A 社がB 社に組み立てさせた作業足場でB 社, C 社,D 社が作業を行い,E 社はC 社が持ち込んだ移動式足場で作業を行うことと なった。特定事業の仕事を行う注文者として積載荷重の表示,点検等の安全措置義務に 関する次の記述のうち,労働安全衛生法令上,正しいものはどれか。 発注者特定元方事業者A社一次下請B社 一次下請C社二次下請D社 二次下請E社",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q015,R1-後半-main-15,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.15,,"建設業の安全衛生管理体制に関する次の記述のうち,労働安全衛生法令上, 誤っているものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q016,R1-後半-main-16,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.16,,"建設工事現場における保護具の使用に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q017,R1-後半-main-17,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.17,,"悪天候等の後には足場を使用する作業の開始前に足場の点検を行うが,悪天候等の定義 に関する次の記述のうち,労働安全衛生法令上,誤っているものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q018,R1-後半-main-18,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.18,,"墜落による危険を防止するための安全ネットに関する次の記述のうち,適当でないもの はどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q019,R1-後半-main-19,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.19,,"車両系建設機械の災害防止のために事業者が講じるべき措置に関する次の記述のうち, 労働安全衛生法令上,誤っているものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-B-Q020,R1-後半-main-20,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.20,,"土工工事における明り掘削作業にあたり事業者が遵守しなければならない事項に関する 次の記述のうち,労働安全衛生法令上,正しいものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q021,R1-後半-supplementary-1,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.21,,"急傾斜地での掘削及び法面防護等のロープ高所作業にあたり,事業者が危険防止のため に講じるべき措置に関する次の記述のうち,労働安全衛生法令上,誤っているものはど れか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q022,R1-後半-supplementary-2,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.22,,"建設工事における埋設物ならびに架空線の防護に関する次の記述のうち, 適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-B-Q023,R1-後半-supplementary-3,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.23,,"労働者の健康管理のために事業者が講じるべき措置に関する次の記述のうち,労働安全 衛生法令上,誤っているものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q024,R1-後半-supplementary-4,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.24,,"コンクリート構造物の解体作業に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q025,R1-後半-supplementary-5,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.25,,"品質管理に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q026,R1-後半-supplementary-6,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.26,,"アスファルト舗装の品質管理に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-B-Q027,R1-後半-supplementary-7,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.27,,"情報化施工におけるTS(トータルステーション)・GNSS(衛星測位システム)を用い た盛土の締固め管理に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q028,R1-後半-supplementary-8,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.28,,"建設工事の品質管理における工種,品質特性及び試験方法に関する次の組合 せのうち,適当なものはどれか。 [工種] [品質特性] [試験方法]",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q029,R1-後半-supplementary-9,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.29,,"JIS A 5308レディーミクストコンクリートの受入れ検査に関する次の記述のうち, 適当なものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q030,R1-後半-supplementary-10,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.30,,"現場打ちのコンクリート構造物に適用する鉄筋の各種継手工法の検査に関する次の記述 のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R1-B-Q031,R1-後半-supplementary-11,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.31,,"コンクリート構造物の品質や健全度を推定するための試験に関する次の記述のうち, 適当でないものはどれか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R1-B-Q032,R1-後半-supplementary-12,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.32,,"建設工事の騒音防止対策に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q033,R1-後半-supplementary-13,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.33,,"建設工事における水質汚濁対策に関する次の記述のうち,適当なものはどれか。",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R1-B-Q034,R1-後半-supplementary-14,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.34,,"建設工事で発生する建設副産物の有効利用の促進に関する次の記述のうち, 適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R1-B-Q035,R1-後半-supplementary-15,ability,3,,,,,false,,,令和1年度第一次検定 後半 No.35,,"建設工事にともなう産業廃棄物(特別管理産業廃棄物を除く)の処理に関する次の記述 のうち,廃棄物の処理及び清掃に関する法令上,誤っているものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R2-A-Q001,R2-前半-main-1,ability,3,,,,,false,,,令和2年度第一次検定 前半 No.1,,"土の原位置試験における試験の名称,試験結果から求められるもの及び試験結 果の利用の組合せとして,次のうち適当なものはどれか。 [試験結果から [試験の名称] [試験結果の利用] 求められるもの]",,,,,,,,,,,C,,,published,2026-02-14T15:19:12.782220
R2-A-Q002,R2-前半-main-2,ability,3,,,,,false,,,令和2年度第一次検定 前半 No.2,,"土工における土量の変化率に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R2-A-Q003,R2-前半-main-3,ability,3,,,,,false,,,令和2年度第一次検定 前半 No.3,,"TS(トータルステーション)・GNSS(衛星測位システム)を用いた盛土の情報化施工 に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
R2-A-Q004,R2-前半-main-4,ability,3,,,,,false,,,令和2年度第一次検定 前半 No.4,,"建設発生土を盛土に利用する際の留意点に関する次の記述のうち,適当でないものはど れか。",,,,,,,,,,,D,,,published,2026-02-14T15:19:12.782220
R2-A-Q005,R2-前半-main-5,ability,3,,,,,false,,,令和2年度第一次検定 前半 No.5,,"道路土工に用いられる軟弱地盤対策工法に関する次の記述のうち,適当でないものはど れか。",,,,,,,,,,,B,,,published,2026-02-14T15:19:12.782220
R2-A-Q006,R2-前半-main-6,ability,3,,,,,false,,,令和2年度第一次検定 前半 No.6,,"コンクリート用骨材に関する次の記述のうち,適当でないものはどれか。",,,,,,,,,,,A,,,published,2026-02-14T15:19:12.782220
